,Datum,year,dairy_date,tweet
33,28. März,1911,28. März 1911,"Maler P.-Karlin, seine Frau, zwei breite große Vorderzähne oben, die das große, eher flache Gesicht zuspitzen, Frau Hofrat B., Mutter des Komponisten, der das Alter ihr starkes Knochengerüst so hervortreibt, daß sie zumindest im Sitzen wie ein Mann aussieht."
34,27. Mai,1911,27. Mai 1911,"Du hast heute Geburtstag, aber ich schicke dir nicht einmal das gewöhnliche Buch, denn es wäre nur Schein; im Grunde bin ich doch nicht einmal imstande, dir ein Buch zu schenken."
35,15. August,1911,15. August 1911,"Die Zeit, die jetzt verlaufen ist und in der ich kein Wort geschrieben habe, ist für mich deshalb so wichtig gewesen, weil ich auf den Schwimmschulen in Prag, Königssaal und Czernoschitz aufgehört habe, für meinen Körper mich zu schämen."
36,20. August,1911,20. August 1911,"Ich habe den unglücklichen Glauben, daß ich nicht zur geringsten guten Arbeit Zeit habe, denn ich habe wirklich nicht Zeit für eine Geschichte, mich in alle Weltrichtungen auszubreiten, wie ich es müßte."
37,24. August,1911,24. August 1911,"Mit Bekannten an einem Kaffeehaustisch im Freien sitzen und eine Frau am Nebentisch ansehn, die gerade gekommen ist, schwer unter großen Brüsten atmet und mit erhitztem, bräunlich glänzendem Gesicht sich setzt."
38,26. August,1911,26. August 1911,"Morgen soll ich nach Italien fahren. Jetzt abends konnte der Vater vor Aufregung nicht einschlafen, da er ganz von der Sorge um das Geschäft und von seiner dadurch aufgeweckten Krankheit ergriffen war."
39,26. September,1911,26. September 1911,
40,27. September,1911,27. September 1911,
41,29. September,1911,29. September 1911,"Goethes Tagebücher. Ein Mensch, der kein Tagebuch hat, ist einem Tagebuch gegenüber in einer falschen Position. Wenn er zum Beispiel in Goethes Tagebüchern liest: »11. 1. 1797."
42,30. September,1911,30. September 1911,Das Mädchen im Nebenzimmer vorgestern (H. H.). Ich lag auf dem Kanapee und hörte auf dem Rande des Halbschlafs ihre Stimme.
43,1.Oktober,1911,1.Oktober 1911,"Alt-Neu-Synagoge gestern. Kol Nidre Einleitungsgebet am Vorabend des Versöhnungstages.. Gedämpftes Börsengemurmel. Im Vorraum Büchse mit der Aufschrift: »Milde Gaben im stillen besänftigen den Unwillen.« Kirchenmäßiges Innere. Drei fromme, offenbar östliche Juden."
44,2. Oktober,1911,2. Oktober 1911,"Schlaflose Nacht. Schon die dritte in einer Reihe. Ich schlafe gut ein, nach einer Stunde aber wache ich auf, als hätte ich den Kopf in ein falsches Loch gelegt."
45,3. Oktober,1911,3. Oktober 1911,"Die gleiche Nacht, nur noch schwerer eingeschlafen. Beim Einschlafen ein vertikal gehender Schmerz im Kopf über der Nasenwurzel, wie von einer zu scharf gepreßten Stirnfalte."
46,4. Oktober,1911,4. Oktober 1911,Ich bin unruhig und giftig. Gestern vor dem Einschlafen hatte ich links oben im Kopf ein flackerndes kühles Flämmchen. über meinem linken Auge hat sich eine Spannung schon eingebürgert.
47,5. Oktober,1911,5. Oktober 1911,"Zum erstenmal seit einigen Tagen wieder Unruhe, selbst vor diesem Schreiben. Wut über meine Schwester, die ins Zimmer kommt und sich mit einem Buch zum Tisch setzt. Abwarten der nächsten kleinen Gelegenheit zum Losgehn dieser Wut."
48,6. Oktober,1911,6. Oktober 1911,Die zwei alten Männer vorn bei dem langen Tisch an der Bühne.
49,9. Oktober,1911,9. Oktober 1911,"Sollte ich das vierzigste Lebensjahr erreichen, so werde ich wahrscheinlich ein altes Mädchen mit vorstehenden, etwas von der Oberlippe entblößten Oberzähnen heiraten."
50,10. Oktober,1911,10. Oktober 1911,"Einen sophistischen Artikel für und gegen die Anstalt in die ›Tetschen-Bodenbacher Zeitung‹ geschrieben. Gestern abend auf dem Graben. Mir entgegen drei Schauspielerinnen, die aus der Probe kamen."
51,12. Oktober,1911,12. Oktober 1911,Gestern bei Max am Pariser TagebuchVorarbeiten zu der gemeinsamen Arbeit ›Richard und Samuel‹ (vgl. ›Erzählungen und Kleine Prosa‹).– R. ist die im ersten Kapitel unter dem Namen »Dora Lippert« geschilderte Dame.geschrieben.
52,13. Oktober,1911,13. Oktober 1911,"Kunstloser Übergang von der gespannten Haut der Glatze meines Chefs zu den zarten Falten seiner Stirn. Eine offenbare, sehr leicht nachzuahmende Schwäche der Natur, Banknoten dürften nicht so gemacht sein."
53,14. Oktober,1911,14. Oktober 1911,Gestern abend im Savoy ›Sulamith‹ von A. Goldfaden.
54,16. Oktober,1911,16. Oktober 1911,Anstrengender Sonntag gestern. Dem Vater hat das ganze Personal gekündigt.
55,17. Oktober,1911,17. Oktober 1911,"Nichts bringe ich fertig, weil ich keine Zeit habe und es in mir so drängt. Wenn der ganze Tag frei wäre und diese Morgenunruhe in mir bis zum Mittag steigen und bis zum Abend sich ermüden könnte, dann könnte ich schlafen."
56,20. Oktober,1911,20. Oktober 1911,"Den 18. bei Max; über Paris geschrieben. Schlecht geschrieben, ohne eigentlich in das Freie der eigentlichen Beschreibung zu kommen, die einem den Fuß vom Erlebnis löst."
57,21. Oktober,1911,21. Oktober 1911,
58,22. Oktober,1911,22. Oktober 1911,Gestern bei den Juden.
59,23. Oktober,1911,23. Oktober 1911,"Die Schauspieler überzeugen mich durch ihre Gegenwart immer wieder zu meinem Schrecken, daß das meiste, was ich bisher über sie aufgeschrieben habe, falsch ist."
60,24. Oktober,1911,24. Oktober 1911,
61,26. Oktober,1911,26. Oktober 1911,"Donnerstag. Gestern hat Löwy den ganzen Nachmittag ›Gott, Mensch, Teufel‹ von Gordin und dann aus seinen eigenen Tagebüchern von Paris vorgelesen. Vorgestern war ich bei der Aufführung des ›Wilden Menschen‹ von Gordin."
62,27. Oktober,1911,27. Oktober 1911,
63,28. Oktober,1911,28. Oktober 1911,"Ein ähnliches Gefühl hatte ich zwar, aber vollkommen schien mir an jenem Abend bei weitem weder Spiel nochStück. Gerade dadurch aber war ich zu einer besonderen Ehrfurcht vor den Schauspielern verpflichtet."
64,29. Oktober,1911,29. Oktober 1911,"Sonntag), so hat er doch das Stück mit allen Details in sich gehabt, ist von Detail zu Detail weitergerückt und nur, weil er alle Details in den Reden versammelt, hat er ihnen die dramatische Schwere und Gewalt gegeben."
65,30. Oktober,1911,30. Oktober 1911,"Dieses Verlangen, das ich fast immer habe, wenn ich einmal meinen Magen gesund fühle, Vorstellungen von schrecklichen Wagnissen mit Speisen in mir zu häufen. Besonders vor Selchereien befriedige ich dieses Verlangen."
66,31. Oktober,1911,31. Oktober 1911,"Trotzdem ich heute im Fischerschen Katalog, im ›Insel-Almanach‹, in der ›Rundschau‹ hie und da gelesen habe, bin ich mir jetzt dessen ziemlich bewußt, alles entweder fest in mich aufgenommen zu haben oder zwar flüchtig, aber unter Abwehr jeder Schädigung."
67,1. November,1911,1. November 1911,Heute ›Geschichte des Judentums‹ von Graetz gierig und glücklich zu lesen angefangen.
68,2. November,1911,2. November 1911,Heute früh zum erstenmal seit langer Zeit wieder die Freude an der Vorstellung eines in meinem Herzen gedrehten Messers.
69,3. November,1911,3. November 1911,"Um zu beweisen, daß beides falsch war, was ich aufgeschrieben hatte, ein Beweis, der fast unmöglich scheint, kamLöwy gestern am Abend selbst und unterbrach mich im Schreiben. Die Gewohnheit N.s, alles mit gleichem Stimmklang zu wiederholen."
70,5. November,1911,5. November 1911,"Gestern geschlafen, nach ›Bar Kochba‹ von sieben ab mit Löwy, Brief seines Vaters vorgelesen. Abend bei Baum.Ich will schreiben, mit einem ständigen Zittern auf der Stirn. Ich sitze in meinem Zimmer im Hauptquartier des Lärms der ganzen Wohnung."
71,7. November,1911,7. November 1911,"Dienstag. Gestern sind die Schauspieler mit Frau Tschissik endgültig weggefahren. Ich begleitete Löwy am Abendzum Kaffeehaus, wartete aber draußen, wollte nicht hinein, wollte nicht Frau Tschissik sehn."
72,8. November,1911,8. November 1911,"Den ganzen Nachmittag beim Doktor (Advokat) wegen der Fabrik. Das Mädchen, das nur deshalb, weil es in ihren Geliebten eingehängt ging, ruhig umhersah."
73,9. November,1911,9. November 1911,
74,11. November,1911,11. November 1911,Samstag. Gestern den ganzen Nachmittag bei Max. Die Reihenfolge der Aufsätze für die ›Schönheit häßlicher Bilder‹ festgesetzt. Ohne gutes Gefühl.
75,12. November,1911,12. November 1911,Sonntag. Gestern Conference Richepin: ›La légende de Napoléon‹ im Rudolfinum. Ziemlich leer. Wie zur Prüfung der Manieren des Vortragenden ist auf dem Weg vom Eingangstürchen zum Vortragstisch ein großes Klavier aufgestellt.
76,13. November,1911,13. November 1911,"Und dieser Mann ist, wie ich heute erfahren habe, zweiundsechzig Jahre alt."
77,14. November,1911,14. November 1911,"Dienstag. Gestern bei Max, der von seiner Brünner Vorlesung zurückkam. Nachmittag beim Einschlafen."
78,15. November,1911,15. November 1911,
79,16. November,1911,16. November 1911,"Heute mittag vor dem Einschlafen, ich schlief aber gar nicht ein, lag auf mir der Oberkörper einer Frau aus Wachs. Ihr Gesicht war über dem meinen zurückgebogen, ihr linker Unterarm drückte meine Brust."
80,18. November,1911,18. November 1911,Gestern in der Fabrik.
81,19. November,1911,19. November 1911,Sonntag. Traum: Im Theater.
82,20. November,1911,20. November 1911,"Traum eines Bildes, angeblich von Ingres. Die Mädchen im Wald in tausend Spiegeln oder eigentlich: Die Jungfrauen usw."
83,21. November,1911,21. November 1911,"Mein gewesenes Kinderfräulein, die im Gesicht schwarzgelbe, mit kantigem Nasenrand und einer mir damals so lieben Warze irgendwo auf der Wange, war heute zum zweitenmal in kurzer Zeit bei uns, um mich zu sehn."
84,22. November,1911,22. November 1911,"Anna: Du hast aber eine Gewohnheit angenommen,Emil, eine ganz abscheuliche. An jede Kleinigkeit kannst du anknüpfen und mit ihrer Hilfe eine schlechte Eigenschaft an mir finden."
85,23. November,1911,23. November 1911,"Am 21., dem hundertsten Todestag Kleists, ließ die Familie Kleist einen Kranz auf sein Grab legen mit der Aufschrift: »Dem Besten ihres Geschlechts.«  Von was für Zuständen ich durch meine Lebensweise abhängig werde!"
86,24. November,1911,24. November 1911,"›Schhite‹ (der, welcher die Schächterkunst lernt). Stück von Gordin."
87,25. November,1911,25. November 1911,"Den ganzen Nachmittag im Café City M. überredet, eine Erklärung zu unterschreiben, daß er nur Kommis bei uns war, also nicht versicherungspflichtig, und der Vater nicht verpflichtet wäre, die große Nachtragszahlung für seine Versicherung zu leisten."
88,26. November,1911,26. November 1911,Mit Max ›Richard und Samuel‹ vormittag und nachmittag bis fünf.
89,30. November,1911,30. November 1911,Drei Tage lang nichts geschrieben.
90,3. Dezember,1911,3. Dezember 1911,
91,8. Dezember,1911,8. Dezember 1911,"Freitag, lange nicht geschrieben, nur war es diesmal doch halbwegs aus Zufriedenheit, da ich das erste Kapitel von ›Richard und Samuel‹ selbst beendet habe und besonders die anfängliche Beschreibung des Schlafes im Coupé als gelungen ansehe."
92,9. Dezember,1911,9. Dezember 1911,
93,10. Dezember,1911,10. Dezember 1911,Sonntag. Ich muß meine Schwester besuchen gehn und ihren kleinen Jungen.
94,13. Dezember,1911,13. Dezember 1911,"Aus Müdigkeit nicht geschrieben und abwechselnd auf dem Kanapee im warmen und im kalten Zimmer gelegen, mit kranken Beinen und ekelhaften Träumen."
95,14. Dezember,1911,14. Dezember 1911,"Mein Vater machte mir mittags Vorwürfe, weil ich mich nicht um die Fabrik kümmere. Ich erklärte, ich hätte mich beteiligt, weil ich Gewinn erwartete, mitarbeiten könne ich aber nicht, solange ich im Bureau sei."
96,16. Dezember,1911,16. Dezember 1911,"Sonntag zwölf Uhr mittags. Den Vormittag vertrödelt mit Schlafen und Zeitunglesen. Angst, eine Kritik für das Prager Tageblatt fertigzustellen."
97,18. Dezember,1911,18. Dezember 1911,Vorgestern ›Hippodamie‹. Elendes Stück. Ein Herumirren in der griechischen Mythologie ohne Sinn und Grund.
98,19. Dezember,1911,19. Dezember 1911,Gestern ›Davids Geige‹ von Lateiner.
99,23. Dezember,1911,23. Dezember 1911,Samstag.
100,24. Dezember,1911,24. Dezember 1911,Sonntag. Gestern war es lustig bei Baum. Ich war dort mit Weltsch. Max ist in Breslau.
101,25. Dezember,1911,25. Dezember 1911,
102,26. Dezember,1911,26. Dezember 1911,"Wieder schlecht geschlafen, schon die dritte Nacht. So habe ich die drei Feiertage, in denen ich Dinge zu schreiben hoffte, die mir durch das ganze Jahr helfen sollten, in einem hilfsbedürftigen Zustand verbracht."
103,27. Dezember,1911,27. Dezember 1911,"Ein unglücklicher Mensch, der kein Kind haben soll, ist in sein Unglück schrecklich eingeschlossen. Nirgends eine Hoffnung auf Erneuerung, auf eine Hilfe durch glücklichere Sterne."
104,28. Dezember,1911,28. Dezember 1911,"Die Qual, die mir die Fabrik macht. Warum habe ich es hingehen lassen, als man mich verpflichtete, daß ich nachmittags dort arbeiten werde. Nun zwingt mich niemand mit Gewalt, aber der Vater durch Vorwürfe, Karl durch Schweigen und mein Schuldbewußtsein."
105,29. Dezember,1911,29. Dezember 1911,Jene lebendigen Stellen bei Goethe.
106,30. Dezember,1911,30. Dezember 1911,"Mein Nachahmungstrieb hat nichts Schauspielerisches, es fehlt ihm vor allem die Einheitlichkeit. Das Grobe, auffallend Charakteristische in seinem ganzen Umfange kann ich gar nicht nachahmen, ähnliche Versuche sind mir immer mißlungen, sie sind gegen meine Natur."
107,31. Dezember,1911,31. Dezember 1911,"Gerade weil seine Fähigkeiten so begrenzt sind, fürchtet er sich, weniger zu tun als alles."
108,2. Januar,1911,2. Januar 1911,
109,3. Januar,0,3. Januar 0,"Viel gelesen in der ›Neuen Rundschau‹. Anfang des Romans ›Der nackte Mann‹›Der nackte Mann‹. Roman von Emil Strauß. Für den Autor und Kafkas Beziehung zu seinem Werk gilt das über Wilhelm Schäfer Bemerkte., etwas zu dünne Klarheit im ganzen, in Einzelheiten unfehlbar."
110,4. Januar,1912,4. Januar 1912,Nur infolge meiner Eitelkeit lese ich so gerne meinen Schwestern vor (so daß es zum Beispiel heute zu spät zum Schreiben geworden ist).
111,5. Januar,1912,5. Januar 1912,"Seit zwei Tagen konstatiere ich in mir Kühle und Gleichgültigkeit, wann ich will. Gestern abend beim Spazierengehn war mir jedes kleine Straßengeräusch, jeder auf mich gerichtete Blick, jede Photographie in einem Auslagskasten wichtiger als ich. Die Einförmigkeit."
112,6. Januar,1912,6. Januar 1912,"Gestern ›Vicekönig‹ von Feimann. Die Eindrucksfähigkeit für das Jüdische in diesen Stücken verläßt mich, weil sie zu gleichförmig sind und in ein Jammern ausarten, das auf vereinzelte kräftigere Ausbrüche stolz ist."
113,7. Januar,1912,7. Januar 1912,
114,24. Januar,1912,24. Januar 1912,Mittwoch.
115,26. Januar,1912,26. Januar 1912,"Der Rücken des Herrn Weltsch und die Stille des ganzen Saales beim Anhören der schlechten Gedichte. – Birnbaum: Die Frisur mit den länglichen Haaren setzt scharf am Hals ab, der durch diese plötzliche Entblößung oder durch sich selbst sehr aufrecht ist."
116,31. Januar,1912,31. Januar 1912,"Nichts geschrieben. Weltsch bringt mir Bücher über Goethe, die mir eine zerstreute, nirgends anwendbare Aufregung verursachen. Plan eines Aufsatzes ›Goethes entsetzliches Wesen‹, Furcht vor dem zweistündigen Abendspaziergang, den ich jetzt für mich eingeführt habe."
117,4. Februar,1912,4. Februar 1912,Vor drei Tagen Wedekind: ›Erdgeist‹. Wedekind und seine Frau Tilly spielen mit. Klare gestochene Stimme der Frau. Schmales mondsichelförmiges Gesicht. Der beim ruhigen Stehn sich seitlich abzweigende Unterschenkel.
118,5. Februar,1912,5. Februar 1912,"Montag. Müde auch das Lesen von ›Dichtung und Wahrheit‹ aufgegeben. Ich bin hart nach außen, kalt im Innern."
119,7. Februar,1912,7. Februar 1912,") stehn mir noch bevor, ärger als die schon überstandenen! Gestern in der Fabrik."
120,8. Februar,1912,8. Februar 1912,"Goethe: Meine Lust am Hervorbringen war grenzenlos. Ich bin nervöser, schwächer geworden und habe einen großen Teil der Ruhe, auf die ich vor Jahren stolz war, verloren."
121,13. Februar,1912,13. Februar 1912,"Ich beginne für die Conference zu Löwys Vorträgen zu schreiben. Sie ist schon Sonntag, den achtzehnten. Ich werde nicht mehr viel Zeit haben, mich vorzubereiten, und stimme doch hier ein Rezitativ an wie in der Oper."
122,25. Februar,1912,25. Februar 1912,"Das Tagebuch von heute an festhalten! Regelmäßig schreiben! Sich nicht aufgeben! Wenn auch keine Erlösung kommt, so will ich doch jeden Augenblick ihrer würdig sein."
123,18. Februar 1912,1912,18. Februar 1912 1912,"veranstaltet habe, bei dem ich einen kleinen Einleitungsvortrag über Jargon hielt. Zwei Wochen lebte ich in Sorgen, weil ich den Vortrag nicht zustande bringen konnte. Am Abend vor dem Vortrag gelang es mir plötzlich."
124,26. Februar,1912,26. Februar 1912,"Besseres Selbstbewußtsein. Herzschlag näher den Wünschen. Das Rauschen des Gaslichtes über mir. Ich öffnete die Haustür, um nachzusehn, ob das Wetter zu einem Spaziergang verlocke."
125,27. Februar,1912,27. Februar 1912,"Ich habe keine Zeit, Briefe doppelt zu schreiben. Gestern abend zehn Uhr ging ich in meinem traurigen Schritt die Zeltnergasse hinab."
126,28. Februar,1912,28. Februar 1912,"Am Sonntagmorgen beim Waschen fällt ihm ein, daß er das ›Tagblatt‹ noch nicht gelesen hat. Er schlägt es auf, zufällig gerade die erste Seite der Unterhaltungsbeilage."
127,2. März,1912,2. März 1912,"Wer bestätigt mir die Wahrheit oder Wahrscheinlichkeit dessen, daß ich nur infolge meiner literarischen Bestimmung sonst interesselos und infolgedessen herzlos bin."
128,3. März,1912,3. März 1912,Den
129,28. Februar,1912,28. Februar 1912,"bei Moissi. Widernatürlicher Anblick. Er sitzt scheinbar ruhig, hat womöglich die gefalteten Hände zwischen den Knien, die Augen in dem frei vor ihm liegenden Buch und läßt seine Stimme über uns kommen mit dem Atem eines Laufenden. Gute Akustik des Saales."
130,5. März,1912,5. März 1912,"Diese empörenden Ärzte! Geschäftlich entschlossen und in der Heilung so unwissend, daß sie, wenn jene geschäftliche Entschlossenheit sie verließe, wie Schuljungen vor den Krankenbetten stünden. Hätte ich doch die Kraft, einen Naturheilverein zu gründen."
131,8. März,1912,8. März 1912,Vorgestern Vorwürfe wegen der Fabrik bekommen. Eine Stunde dann auf dem Kanapee über Aus-dem Fenster-Springen nachgedacht. Gestern Harden-Vortrag über ›Theater‹.
132,10. März,1912,10. März 1912,"Sonntag. Er verführte ein Mädchen in einem kleinen Orte im Isergebirge, wo er sich einen Sommer lang aufhielt, um seine angegriffenen Lungen wiederherzustellen."
133,11. März,1912,11. März 1912,Gestern nicht zum Aushalten. Warum nehmen an der Abendtafel nicht alle Anteil? Es wäre doch so schön. Der Rezitator Reichmann ist am Tag nach unserem Gespräch ins Irrenhaus gekommen.
134,12. März,1912,12. März 1912,"In der vorübereilenden Elektrischen saß in einem Winkel, die Wange an der Scheibe, den linken Arm die Lehne entlanggestreckt, ein junger Mann in offenem, um ihn sich aufbauschendem Überzieher und sah über die lange leere Bank mit beobachtenden Blicken hin."
135,16. März,1912,16. März 1912,"Samstag.Wieder Aufmunterung. Wieder fasse ich mich, wie die Bälle, die fallen, und die man im Fallen fängt. Morgen, heute fange ich eine größere Arbeit an, die ungezwungen nach meinen Fähigkeiten sich richten soll."
136,17. März,1912,17. März 1912,"In diesen Tagen ›Morgenrot‹ von StoeßlOtto Stoeßl (1875-1936), der österreichische Erzähler und Essayist, den Kafka sehr schätzte.gelesen. Maxens Konzert am Sonntag. Mein fast bewußtloses Zuhören. Ich kann mich von jetzt an bei Musik nicht mehr langweilen."
137,18. März,1912,18. März 1912,"Weise war ich, wenn man will, weil ich jeden Augenblick zu sterben bereit war, aber nicht deshalb, weil ich alles besorgt hatte, was mir zu tun auferlegt war, sondern weil ich nichts davon getan hatte und auch nicht hoffen konnte, jemals etwas davon zu tun."
138,22. März,1912,22. März 1912,"(Ich habe die letzten Tage falsche Daten geschrieben.) Baums Vorlesung in der Lesehalle. G. F., neunzehn Jahre, heiratet nächste Woche. Dunkles fehlerloses mageres Gesicht. Gewölbte Nasenflügel. Seit jeher trägt sie jägerartige Hüte und Kleider."
139,24. März,1912,24. März 1912,"Sonntag, gestern. ›Die Sternenbraut‹ von Christian von Ehrenfels. – Verloren im Anschauen; unübersichtlichem rohem Zusammenhang gegenübergestellt, vor den drei bekannten Ehepaaren gut mit mir verbunden. – Der kranke Offizier im Stück."
140,25. März,1912,25. März 1912,Der den Teppich kehrende Besen im Nebenzimmer hört sich wie eine ruckweise bewegte Schleppe an.
141,26. März,1912,26. März 1912,"Nur nicht überschätzen, was ich geschrieben habe, dadurch mache ich mir das zu Schreibende unerreichbar."
142,27. März,1912,27. März 1912,"Montag faßte ich auf der Gasse einen Jungen, der mit andern ein wehrlos vor ihnen gehendes Dienstmädchen mit einem großen Ball bewarf, gerade als dem Mädchen der Ball gegen den Hintern flog, beim Hals, würgte ihn in großer Wut, stieß ihn beiseite und schimpfte."
