,Datum,Result
10,16. Dezember,"['Ich werde das Tagebuch nicht mehr verlassen.', 'Hier muß ich mich festhalten, denn nur hier kann ich es.', 'Gerne möchte ich das Glücksgefühl erklären, das ich von Zeit zu Zeit wie ebenjetzt in mir habe.']"
11,17. Dezember,"['Zeno sagte auf eine dringliche Frage hin, ob denn nichts ruhe: Ja, der fliegende Pfeil ruht.', 'Wenn die Franzosen ihrem Wesen nach Deutsche wären, wie würden sie dann erst von den Deutschen bewundert sein.']"
12,18. Dezember,[]
13,19. Dezember,"['Im Bureau zu arbeiten angefangen.', 'Nachmittag bei Max.', 'Ein wenig Goethes Tagebücher gelesen.', 'Die Ferne hält dieses Leben schon beruhigt fest, diese Tagebücher legen Feuer dran.']"
14,20. Dezember,"['Womit entschuldige ich die gestrige Bemerkung über Goethe (die fast so unwahr ist wie das von ihr beschriebene Gefühl, denn das wirkliche ist von meiner Schwester vertrieben worden)?', 'Mit nichts.', 'Womit entschuldige ich, daß ich heute noch nichts geschrieben habe?', 'Mit nichts.']"
15,21. Dezember,[]
16,22. Dezember,"['Heute wage ich es nicht einmal, mir Vorwürfe zu machen.', 'In diesen leeren Tag hineingerufen hätte das einen ekelhaften Widerhall.']"
17,24. Dezember,"['Jetzt habe ich meinen Schreibtisch genauer angeschaut und eingesehn, daß auf ihm nichts Gutes gemacht werden kann.']"
18,25. Dezember,"['aus dem offenen Fach unter dem Tischaufsatz hervor Broschüren alter Zeitungen, Kataloge, Ansichtskarten, Briefe, alle zum Teil zerrissen, zum Teil geöffnet, in Form einer Freitreppe hervorkommen, dieser unwürdige Zustand verdirbt alles.']"
19,26. Dezember,"['Zweieinhalb Tage war ich – allerdings nicht vollständig – allein und schon bin ich, wenn auch nicht verwandelt, so doch auf dem Wege.', 'Das Alleinsein hat eine Kraft über mich, die nie versagt.']"
20,27. Dezember,"['Meine Kraft reicht zu keinem Satz mehr aus.', 'Ja, wenn es sich um Worte handeln würde, wenn es genügte, ein Wort hinzusetzen und man sich wegwenden könnte im ruhigen Bewußtsein, dieses Wort ganz mit sich erfüllt zu haben.']"
21,28. Dezember,"['Wenn ich mich ein paar Stunden menschlich benommen habe, wie heute mit Max und später bei Baum, bin ich vor dem Schlafengehen schon hochmütig.', '""""»Ich will mich verabschieden.« Bei dem plötzlichen Reden flog mir etwas Speichel als schlechtes Vorzeichen aus dem Mund.']"
22,4. Januar,"['›Glaube und Heimat‹ von Schönherr.', 'Die nassen Finger der Galeriebesucher unter mir, die sich die Augen wischen.']"
23,6. Januar,"['»Du«, sagte ich, zielte und gab ihm einen kleinen Stoß mit dem Knie, »jetzt geh ich aber.']"
24,7. Januar,"['N.s Schwester, die in ihren Bräutigam so verliebt ist, daß sie es so einzurichten sucht, mit jedem Besucher einzeln zu reden, da man sich dem einzelnen gegenüber besser über seine Liebe aussprechen und wiederholen kann.']"
25,12. Januar,"['Ich habe vieles in diesen Tagen über mich nicht aufgeschrieben, teils aus Faulheit (ich schlafe jetzt so viel und fest bei Tag, ich habe während des Schlafes ein größeres Gewicht), teils aber auch aus Angst, meine Selbsterkenntnis zu verraten.']"
26,14. Januar,"['Roman ›Eheleute‹ von Beradt.', 'Viel schlechtes Jüdisches.', 'Ein plötzliches einförmiges neckisches Auftreten des Autors, zum Beispiel alle waren lustig, aber einer war da, der war nicht lustig.', 'Oder: da kommt ein Herr Stern (den wir bis in seine Romanknochen hinein schon kennen).']"
27,17. Januar,['Max hat mir den ersten Akt des ›Abschieds von der Jugend‹ vorgelesen.']
28,19. Januar,[]
29,19. Februar,"['Wie ich heute aus dem Bett steigen wollte, bin ich einfach zusammengeklappt.', 'Es hat das einen sehr einfachen Grund, ich bin vollkommen überarbeitet.', 'Nicht durch das Bureau, aber durch meine sonstige Arbeit.']"
30,19. Februar,[]
31,20. Februar,"['Mella Mars in der ›Lucerna‹.', 'Eine witzige Tragödin, die gewissermaßen auf einer verkehrten Bühne so auftritt, wie sichTragödinnen manchmal hinter der Szene zeigen.']"
32,21. Februar,"['Mein Leben hier ist so, als wäre ich eines zweiten Lebens ganz gewiß, so wie ich zum Beispiel den mißlungenen Aufenthalt in Paris im Hinblick darauf verschmerzte, daß ich danach streben werde, bald wieder hinzukommen.']"
33,26. März,"['Theosophische Vorträge des Dr. Rudolf Steiner, Berlin.']"
34,28. März,"['Maler P.-Karlin, seine Frau, zwei breite große Vorderzähne oben, die das große, eher flache Gesicht zuspitzen, Frau Hofrat B., Mutter des Komponisten, der das Alter ihr starkes Knochengerüst so hervortreibt, daß sie zumindest im Sitzen wie ein Mann aussieht.']"
35,27. Mai,"['Du hast heute Geburtstag, aber ich schicke dir nicht einmal das gewöhnliche Buch, denn es wäre nur Schein; im Grunde bin ich doch nicht einmal imstande, dir ein Buch zu schenken.']"
36,15. August,"['Die Zeit, die jetzt verlaufen ist und in der ich kein Wort geschrieben habe, ist für mich deshalb so wichtig gewesen, weil ich auf den Schwimmschulen in Prag, Königssaal und Czernoschitz aufgehört habe, für meinen Körper mich zu schämen.']"
37,20. August,"['Ich habe den unglücklichen Glauben, daß ich nicht zur geringsten guten Arbeit Zeit habe, denn ich habe wirklich nicht Zeit für eine Geschichte, mich in alle Weltrichtungen auszubreiten, wie ich es müßte.']"
38,24. August,"['Mit Bekannten an einem Kaffeehaustisch im Freien sitzen und eine Frau am Nebentisch ansehn, die gerade gekommen ist, schwer unter großen Brüsten atmet und mit erhitztem, bräunlich glänzendem Gesicht sich setzt.']"
39,26. August,"['Morgen soll ich nach Italien fahren.', 'Jetzt abends konnte der Vater vor Aufregung nicht einschlafen, da er ganz von der Sorge um das Geschäft und von seiner dadurch aufgeweckten Krankheit ergriffen war.']"
40,26. September,[]
41,27. September,[]
42,29. September,"['Goethes Tagebücher.', 'Ein Mensch, der kein Tagebuch hat, ist einem Tagebuch gegenüber in einer falschen Position.', 'Wenn er zum Beispiel in Goethes Tagebüchern liest: »11.', '1.', '1797.']"
43,30. September,"['Das Mädchen im Nebenzimmer vorgestern (H. H.).', 'Ich lag auf dem Kanapee und hörte auf dem Rande des Halbschlafs ihre Stimme.']"
44,1.Oktober,"['Alt-Neu-Synagoge gestern.', 'Kol NidreEinleitungsgebet am Vorabend des Versöhnungstages.. Gedämpftes Börsengemurmel.', 'Im Vorraum Büchse mit der Aufschrift: »Milde Gaben im stillen besänftigen den Unwillen.« Kirchenmäßiges Innere.', 'Drei fromme, offenbar östliche Juden.', 'In Socken.']"
45,2. Oktober,"['Schlaflose Nacht.', 'Schon die dritte in einer Reihe.', 'Ich schlafe gut ein, nach einer Stunde aber wache ich auf, als hätte ich den Kopf in ein falsches Loch gelegt.']"
46,3. Oktober,"['Die gleiche Nacht, nur noch schwerer eingeschlafen.', 'Beim Einschlafen ein vertikal gehender Schmerz im Kopf über der Nasenwurzel, wie von einer zu scharf gepreßten Stirnfalte.']"
47,4. Oktober,"['Ich bin unruhig und giftig.', 'Gestern vor dem Einschlafen hatte ich links oben im Kopf ein flackerndes kühles Flämmchen.', 'über meinem linken Auge hat sich eine Spannung schon eingebürgert.']"
48,5. Oktober,"['Zum erstenmal seit einigen Tagen wieder Unruhe, selbst vor diesem Schreiben.', 'Wut über meine Schwester, die ins Zimmer kommt und sich mit einem Buch zum Tisch setzt.', 'Abwarten der nächsten kleinen Gelegenheit zum Losgehn dieser Wut.']"
49,6. Oktober,['Die zwei alten Männer vorn bei dem langen Tisch an der Bühne.']
50,9. Oktober,"['Sollte ich das vierzigste Lebensjahr erreichen, so werde ich wahrscheinlich ein altes Mädchen mit vorstehenden, etwas von der Oberlippe entblößten Oberzähnen heiraten.']"
51,10. Oktober,"['Einen sophistischen Artikel für und gegen die Anstalt in die ›Tetschen-Bodenbacher Zeitung‹ geschrieben.', 'Gestern abend auf dem Graben.', 'Mir entgegen drei Schauspielerinnen, die aus der Probe kamen.']"
52,12. Oktober,['Gestern bei Max am Pariser TagebuchVorarbeiten zu der gemeinsamen Arbeit ›Richard und Samuel‹ (vgl. ›Erzählungen und Kleine Prosa‹).– R. ist die im ersten Kapitel unter dem Namen »Dora Lippert« geschilderte Dame.geschrieben.']
53,13. Oktober,"['Kunstloser Übergang von der gespannten Haut der Glatze meines Chefs zu den zarten Falten seiner Stirn.', 'Eine offenbare, sehr leicht nachzuahmende Schwäche der Natur, Banknoten dürften nicht so gemacht sein.']"
54,14. Oktober,['Gestern abend im Savoy ›Sulamith‹ von A. Goldfaden.']
55,16. Oktober,"['Anstrengender Sonntag gestern.', 'Dem Vater hat das ganze Personal gekündigt.', 'Durch gute Reden, Herzlichkeit, Wirkung seiner Krankheit, seiner Größe und frühern Stärke, seiner Erfahrung, seiner Klugheit erkämpft er sich in allgemeinen und privaten Unterredungen fast alle zurück.']"
56,17. Oktober,"['Nichts bringe ich fertig, weil ich keine Zeit habe und es in mir so drängt.', 'Wenn der ganze Tag frei wäre und diese Morgenunruhe in mir bis zum Mittag steigen und bis zum Abend sich ermüden könnte, dann könnte ich schlafen.']"
57,20. Oktober,"['Den 18. bei Max; über Paris geschrieben.', 'Schlecht geschrieben, ohne eigentlich in das Freie der eigentlichen Beschreibung zu kommen, die einem den Fuß vom Erlebnis löst.', 'Ich war auch dumpf nach der großen Erhebung des vorigen Tages, der mit der Vorlesung Löwys geendet hatte.']"
58,21. Oktober,"['Ein Gegenbeispiel: Meinem Chef kann ich, wenn er mit mir Bureauangelegenheiten berät (heute die Kartothek), nicht lange in die Augen schauen, ohne daß in meinen Blick gegen allen meinen Willen eine leichte Bitterkeit kommt, die entweder meinen oder seinen Blick abdrängt.']"
59,22. Oktober,['Gestern bei den Juden.']
60,23. Oktober,"['Die Schauspieler überzeugen mich durch ihre Gegenwart immer wieder zu meinem Schrecken, daß das meiste, was ich bisher über sie aufgeschrieben habe, falsch ist.']"
61,24. Oktober,"['Die Mutter arbeitet den ganzen Tag, ist lustig und traurig, wie es kommt, ohne mit eigenen Zuständen im geringsten in Anspruch zu nehmen, ihre Stimme ist hell, zu laut für das gewöhnliche Sprechen, aber wohltätig, wenn man traurig ist und nach einiger Zeit plötzlich sie hört.']"
62,26. Oktober,"['Donnerstag.', 'Gestern hat Löwy den ganzen Nachmittag ›Gott, Mensch, Teufel‹ von Gordin und dann aus seinen eigenen Tagebüchern von Paris vorgelesen.', 'Vorgestern war ich bei der Aufführung des ›Wilden Menschen‹ von Gordin.']"
63,27. Oktober,[]
64,28. Oktober,"['Ein ähnliches Gefühl hatte ich zwar, aber vollkommen schien mir an jenem Abend bei weitem weder Spiel nochStück.', 'Gerade dadurch aber war ich zu einer besonderen Ehrfurcht vor den Schauspielern verpflichtet.']"
65,29. Oktober,"['Sonntag), so hat er doch das Stück mit allen Details in sich gehabt, ist von Detail zu Detail weitergerückt und nur, weil er alle Details in den Reden versammelt, hat er ihnen die dramatische Schwere und Gewalt gegeben.']"
66,30. Oktober,"['Dieses Verlangen, das ich fast immer habe, wenn ich einmal meinen Magen gesund fühle, Vorstellungen von schrecklichen Wagnissen mit Speisen in mir zu häufen.', 'Besonders vor Selchereien befriedige ich dieses Verlangen.']"
67,31. Oktober,"['Trotzdem ich heute im Fischerschen Katalog, im ›Insel-Almanach‹, in der ›Rundschau‹ hie und da gelesen habe, bin ich mir jetzt dessen ziemlich bewußt, alles entweder fest in mich aufgenommen zu haben oder zwar flüchtig, aber unter Abwehr jeder Schädigung.']"
68,1. November,"['Heute ›Geschichte des Judentums‹ von Graetz gierig und glücklich zu lesen angefangen.', 'Weil mein Verlangen danach das Lesen weit überholt hatte, war es mir zuerst fremder, als ich dachte, und ich mußte hie und da einhalten, um durch Ruhe mein Judentum sich sammeln zu lassen.']"
69,2. November,['Heute früh zum erstenmal seit langer Zeit wieder die Freude an der Vorstellung eines in meinem Herzen gedrehten Messers.']
70,3. November,"['Um zu beweisen, daß beides falsch war, was ich aufgeschrieben hatte, ein Beweis, der fast unmöglich scheint, kamLöwy gestern am Abend selbst und unterbrach mich im Schreiben.', 'Die Gewohnheit N.s, alles mit gleichem Stimmklang zu wiederholen.']"
71,5. November,"['Gestern geschlafen, nach ›Bar Kochba‹ von sieben ab mit Löwy, Brief seines Vaters vorgelesen.', 'Abend bei Baum.Ich will schreiben, mit einem ständigen Zittern auf der Stirn.', 'Ich sitze in meinem Zimmer im Hauptquartier des Lärms der ganzen Wohnung.']"
72,7. November,"['Dienstag.', 'Gestern sind die Schauspieler mit Frau Tschissik endgültig weggefahren.', 'Ich begleitete Löwy am Abendzum Kaffeehaus, wartete aber draußen, wollte nicht hinein, wollte nicht Frau Tschissik sehn.']"
73,8. November,"['Den ganzen Nachmittag beim Doktor (Advokat) wegen der Fabrik.', 'Das Mädchen, das nur deshalb, weil es in ihren Geliebten eingehängt ging, ruhig umhersah.', 'Die Kontoristin bei N. erinnerte mich an die Darstellerin der Manette Salomon im Odéon in Paris vor eineinhalb Jahren.']"
74,9. November,[]
75,11. November,"['Samstag.', 'Gestern den ganzen Nachmittag bei Max.', 'Die Reihenfolge der Aufsätze für die ›Schönheit häßlicher Bilder‹ festgesetzt.', 'Ohne gutes Gefühl.']"
76,12. November,"['Sonntag.', 'Gestern Conference Richepin: ›La légende de Napoléon‹ im Rudolfinum.', 'Ziemlich leer.', 'Wie zur Prüfung der Manieren des Vortragenden ist auf dem Weg vom Eingangstürchen zum Vortragstisch ein großes Klavier aufgestellt.']"
77,13. November,"['Und dieser Mann ist, wie ich heute erfahren habe, zweiundsechzig Jahre alt.']"
78,14. November,"['Dienstag.', 'Gestern bei Max, der von seiner Brünner Vorlesung zurückkam.', 'Nachmittag beim Einschlafen.']"
79,15. November,[]
80,16. November,"['Heute mittag vor dem Einschlafen, ich schlief aber gar nicht ein, lag auf mir der Oberkörper einer Frau aus Wachs.', 'Ihr Gesicht war über dem meinen zurückgebogen, ihr linker Unterarm drückte meine Brust.']"
81,18. November,['Gestern in der Fabrik.']
82,19. November,"['Sonntag.', 'Traum: Im Theater.']"
83,20. November,"['Traum eines Bildes, angeblich von Ingres.', 'Die Mädchen im Wald in tausend Spiegeln oder eigentlich: Die Jungfrauen usw.']"
84,21. November,"['Mein gewesenes Kinderfräulein, die im Gesicht schwarzgelbe, mit kantigem Nasenrand und einer mir damals so lieben Warze irgendwo auf der Wange, war heute zum zweitenmal in kurzer Zeit bei uns, um mich zu sehn.']"
85,22. November,"['Anna: Du hast aber eine Gewohnheit angenommen,Emil, eine ganz abscheuliche.', 'An jede Kleinigkeit kannst du anknüpfen und mit ihrer Hilfe eine schlechte Eigenschaft an mir finden.', 'Karlreibt sich die Finger: Weil du keine Rücksicht nimmst, weil du überhaupt unbegreiflich bist.']"
86,23. November,"['Am 21., dem hundertsten Todestag Kleists, ließ die Familie Kleist einen Kranz auf sein Grab legen mit der Aufschrift: »Dem Besten ihres Geschlechts.«  Von was für Zuständen ich durch meine Lebensweise abhängig werde!']"
87,24. November,"['›Schhite‹ (der, welcher die Schächterkunst lernt).', 'Stück von Gordin.']"
88,25. November,"['Den ganzen Nachmittag im Café City M. überredet, eine Erklärung zu unterschreiben, daß er nur Kommis bei uns war, also nicht versicherungspflichtig, und der Vater nicht verpflichtet wäre, die große Nachtragszahlung für seine Versicherung zu leisten.']"
89,26. November,['Mit Max ›Richard und Samuel‹ vormittag und nachmittag bis fünf.']
90,30. November,['Drei Tage lang nichts geschrieben.']
91,3. Dezember,[]
92,8. Dezember,"['Freitag, lange nicht geschrieben, nur war es diesmal doch halbwegs aus Zufriedenheit, da ich das erste Kapitel von ›Richard und Samuel‹ selbst beendet habe und besonders die anfängliche Beschreibung des Schlafes im Coupé als gelungen ansehe.']"
93,9. Dezember,[]
94,10. Dezember,"['Sonntag.', 'Ich muß meine Schwester besuchen gehn und ihren kleinen Jungen.']"
95,13. Dezember,"['Aus Müdigkeit nicht geschrieben und abwechselnd auf dem Kanapee im warmen und im kalten Zimmer gelegen, mit kranken Beinen und ekelhaften Träumen.']"
96,14. Dezember,"['Mein Vater machte mir mittags Vorwürfe, weil ich mich nicht um die Fabrik kümmere.', 'Ich erklärte, ich hätte mich beteiligt, weil ich Gewinn erwartete, mitarbeiten könne ich aber nicht, solange ich im Bureau sei.', 'Der Vater zankte weiter, ich stand beim Fenster und schwieg.']"
97,16. Dezember,"['Sonntag zwölf Uhr mittags.', 'Den Vormittag vertrödelt mit Schlafen und Zeitunglesen.', 'Angst, eine Kritik für das Prager Tageblatt fertigzustellen.']"
98,18. Dezember,"['Vorgestern ›Hippodamie‹.', 'Elendes Stück.', 'Ein Herumirren in der griechischen Mythologie ohne Sinn und Grund.']"
99,19. Dezember,['Gestern ›Davids Geige‹ von Lateiner.']
100,23. Dezember,['Samstag.']
101,24. Dezember,"['Sonntag.', 'Gestern war es lustig bei Baum.', 'Ich war dort mit Weltsch.', 'Max ist in Breslau.']"
102,25. Dezember,[]
103,26. Dezember,"['Wieder schlecht geschlafen, schon die dritte Nacht.', 'So habe ich die drei Feiertage, in denen ich Dinge zu schreiben hoffte, die mir durch das ganze Jahr helfen sollten, in einem hilfsbedürftigen Zustand verbracht.', 'Am Weihnachtsabend Spaziergang mit Löwy gegen Stern zu.']"
104,27. Dezember,"['Ein unglücklicher Mensch, der kein Kind haben soll, ist in sein Unglück schrecklich eingeschlossen.', 'Nirgends eine Hoffnung auf Erneuerung, auf eine Hilfe durch glücklichere Sterne.']"
105,28. Dezember,"['Die Qual, die mir die Fabrik macht.', 'Warum habe ich es hingehen lassen, als man mich verpflichtete, daß ich nachmittags dort arbeiten werde.', 'Nun zwingt mich niemand mit Gewalt, aber der Vater durch Vorwürfe, Karl durch Schweigen und mein Schuldbewußtsein.']"
106,29. Dezember,['Jene lebendigen Stellen bei Goethe.']
107,30. Dezember,"['Mein Nachahmungstrieb hat nichts Schauspielerisches, es fehlt ihm vor allem die Einheitlichkeit.', 'Das Grobe, auffallend Charakteristische in seinem ganzen Umfange kann ich gar nicht nachahmen, ähnliche Versuche sind mir immer mißlungen, sie sind gegen meine Natur.']"
108,31. Dezember,"['Gerade weil seine Fähigkeiten so begrenzt sind, fürchtet er sich, weniger zu tun als alles.']"
109,2. Januar,[]
110,3. Januar,"['Viel gelesen in der ›Neuen Rundschau‹.', 'Anfang des Romans ›Der nackte Mann‹›Der nackte Mann‹.', 'Roman von Emil Strauß.', 'Für den Autor und Kafkas Beziehung zu seinem Werk gilt das über Wilhelm Schäfer Bemerkte., etwas zu dünne Klarheit im ganzen, in Einzelheiten unfehlbar.']"
111,4. Januar,['Nur infolge meiner Eitelkeit lese ich so gerne meinen Schwestern vor (so daß es zum Beispiel heute zu spät zum Schreiben geworden ist).']
112,5. Januar,"['Seit zwei Tagen konstatiere ich in mir Kühle und Gleichgültigkeit, wann ich will.', 'Gestern abend beim Spazierengehn war mir jedes kleine Straßengeräusch, jeder auf mich gerichtete Blick, jede Photographie in einem Auslagskasten wichtiger als ich.', 'Die Einförmigkeit.', 'Geschichte.']"
113,6. Januar,"['Gestern ›Vicekönig‹ von Feimann.', 'Die Eindrucksfähigkeit für das Jüdische in diesen Stücken verläßt mich, weil sie zu gleichförmig sind und in ein Jammern ausarten, das auf vereinzelte kräftigere Ausbrüche stolz ist.']"
114,7. Januar,"['Frau Tschissik hat leider immer Rollen, welche nur die Essenz ihres Wesens zeigen, sie spielt immer Frauen und Mädchen, die mit einem Schlage unglücklich, verhöhnt, entehrt, gekränkt werden, denen aber nicht Zeit gegönnt ist, ihr Wesen in natürlicher Folge zu entwickeln.']"
115,24. Januar,['Mittwoch.']
116,26. Januar,"['Der Rücken des Herrn Weltsch und die Stille des ganzen Saales beim Anhören der schlechten Gedichte.', '– Birnbaum: Die Frisur mit den länglichen Haaren setzt scharf am Hals ab, der durch diese plötzliche Entblößung oder durch sich selbst sehr aufrecht ist.']"
117,31. Januar,"['Nichts geschrieben.', 'Weltsch bringt mir Bücher über Goethe, die mir eine zerstreute, nirgends anwendbare Aufregung verursachen.', 'Plan eines Aufsatzes ›Goethes entsetzliches Wesen‹, Furcht vor dem zweistündigen Abendspaziergang, den ich jetzt für mich eingeführt habe.']"
118,4. Februar,"['Vor drei Tagen Wedekind: ›Erdgeist‹.', 'Wedekind und seine Frau Tilly spielen mit.', 'Klare gestochene Stimme der Frau.', 'Schmales mondsichelförmiges Gesicht.', 'Der beim ruhigen Stehn sich seitlich abzweigende Unterschenkel.']"
119,5. Februar,"['Montag.', 'Müde auch das Lesen von ›Dichtung und Wahrheit‹ aufgegeben.', 'Ich bin hart nach außen, kalt im Innern.']"
120,7. Februar,"[') stehn mir noch bevor, ärger als die schon überstandenen!', 'Gestern in der Fabrik.']"
121,8. Februar,"['Goethe: Meine Lust am Hervorbringen war grenzenlos.', 'Ich bin nervöser, schwächer geworden und habe einen großen Teil der Ruhe, auf die ich vor Jahren stolz war, verloren.']"
122,13. Februar,"['Ich beginne für die Conference zu Löwys Vorträgen zu schreiben.', 'Sie ist schon Sonntag, den achtzehnten.', 'Ich werde nicht mehr viel Zeit haben, mich vorzubereiten, und stimme doch hier ein Rezitativ an wie in der Oper.']"
123,25. Februar,"['Das Tagebuch von heute an festhalten!', 'Regelmäßig schreiben!', 'Sich nicht aufgeben!', 'Wenn auch keine Erlösung kommt, so will ich doch jeden Augenblick ihrer würdig sein.']"
124,18. Februar 1912,"['veranstaltet habe, bei dem ich einen kleinen Einleitungsvortrag über Jargon hielt.', 'Zwei Wochen lebte ich in Sorgen, weil ich den Vortrag nicht zustande bringen konnte.', 'Am Abend vor dem Vortrag gelang es mir plötzlich.']"
125,26. Februar,"['Besseres Selbstbewußtsein.', 'Herzschlag näher den Wünschen.', 'Das Rauschen des Gaslichtes über mir.', 'Ich öffnete die Haustür, um nachzusehn, ob das Wetter zu einem Spaziergang verlocke.']"
126,27. Februar,"['Ich habe keine Zeit, Briefe doppelt zu schreiben.', 'Gestern abend zehn Uhr ging ich in meinem traurigen Schritt die Zeltnergasse hinab.']"
127,28. Februar,"['Am Sonntagmorgen beim Waschen fällt ihm ein, daß er das ›Tagblatt‹ noch nicht gelesen hat.', 'Er schlägt es auf, zufällig gerade die erste Seite der Unterhaltungsbeilage.']"
128,2. März,"['Wer bestätigt mir die Wahrheit oder Wahrscheinlichkeit dessen, daß ich nur infolge meiner literarischen Bestimmung sonst interesselos und infolgedessen herzlos bin.']"
129,3. März,['Den']
130,28. Februar,"['bei Moissi.', 'Widernatürlicher Anblick.', 'Er sitzt scheinbar ruhig, hat womöglich die gefalteten Hände zwischen den Knien, die Augen in dem frei vor ihm liegenden Buch und läßt seine Stimme über uns kommen mit dem Atem eines Laufenden.', 'Gute Akustik des Saales.']"
131,5. März,"['Diese empörenden Ärzte!', 'Geschäftlich entschlossen und in der Heilung so unwissend, daß sie, wenn jene geschäftliche Entschlossenheit sie verließe, wie Schuljungen vor den Krankenbetten stünden.', 'Hätte ich doch die Kraft, einen Naturheilverein zu gründen.']"
132,8. März,"['Vorgestern Vorwürfe wegen der Fabrik bekommen.', 'Eine Stunde dann auf dem Kanapee über Aus-dem Fenster-Springen nachgedacht.', 'Gestern Harden-Vortrag über ›Theater‹.']"
133,10. März,"['Sonntag.', 'Er verführte ein Mädchen in einem kleinen Orte im Isergebirge, wo er sich einen Sommer lang aufhielt, um seine angegriffenen Lungen wiederherzustellen.']"
134,11. März,"['Gestern nicht zum Aushalten.', 'Warum nehmen an der Abendtafel nicht alle Anteil?', 'Es wäre doch so schön.', 'Der Rezitator Reichmann ist am Tag nach unserem Gespräch ins Irrenhaus gekommen.']"
135,12. März,"['In der vorübereilenden Elektrischen saß in einem Winkel, die Wange an der Scheibe, den linken Arm die Lehne entlanggestreckt, ein junger Mann in offenem, um ihn sich aufbauschendem Überzieher und sah über die lange leere Bank mit beobachtenden Blicken hin.']"
136,16. März,"['Samstag.Wieder Aufmunterung.', 'Wieder fasse ich mich, wie die Bälle, die fallen, und die man im Fallen fängt.', 'Morgen, heute fange ich eine größere Arbeit an, die ungezwungen nach meinen Fähigkeiten sich richten soll.', 'Ich werde nicht von ihr ablassen, solange ich nur kann.']"
137,17. März,"['In diesen Tagen ›Morgenrot‹ von StoeßlOtto Stoeßl (1875-1936), der österreichische Erzähler und Essayist, den Kafka sehr schätzte.gelesen.', 'Maxens Konzert am Sonntag.', 'Mein fast bewußtloses Zuhören.', 'Ich kann mich von jetzt an bei Musik nicht mehr langweilen.']"
138,18. März,"['Weise war ich, wenn man will, weil ich jeden Augenblick zu sterben bereit war, aber nicht deshalb, weil ich alles besorgt hatte, was mir zu tun auferlegt war, sondern weil ich nichts davon getan hatte und auch nicht hoffen konnte, jemals etwas davon zu tun.']"
139,22. März,"['(Ich habe die letzten Tage falsche Daten geschrieben.)', 'Baums Vorlesung in der Lesehalle.', 'G.', 'F., neunzehn Jahre, heiratet nächste Woche.', 'Dunkles fehlerloses mageres Gesicht.', 'Gewölbte Nasenflügel.', 'Seit jeher trägt sie jägerartige Hüte und Kleider.']"
140,24. März,"['Sonntag, gestern.', '›Die Sternenbraut‹ von Christian von Ehrenfels.', '– Verloren im Anschauen; unübersichtlichem rohem Zusammenhang gegenübergestellt, vor den drei bekannten Ehepaaren gut mit mir verbunden.', '– Der kranke Offizier im Stück.']"
141,25. März,['Der den Teppich kehrende Besen im Nebenzimmer hört sich wie eine ruckweise bewegte Schleppe an.']
142,26. März,"['Nur nicht überschätzen, was ich geschrieben habe, dadurch mache ich mir das zu Schreibende unerreichbar.']"
